,word_count
'57 Chevrolet_Billie Jo Spears_1990,167
(Bloody Paw On The) Kill Floor_Busdriver_2007,456
(Coffee's For Closers)_Fall Out Boy_2008,339
(Do)Minion_Eluveitie_2010,179
(eskomolto)_Pagan Wanderer Lu_2015,125
(I Heard That) Lonesome Whistle_Bobby Darin_1995,126
(I Used To Couldn't Dance) Tight Pants_Eagles Of Death Metal_2008,224
(I'm So) Afraid Of Losing You Again_Charley Pride_1970,125
(Prayer Is The Key To Heaven) Faith Unlocks The Door_Don Gibson_1959,45
(The Best Part Of) Breakin' Up_The Ronettes_1964,169
(The Grave Prelude)_Mobb Deep_1995,667
(This Is Not A) Love Song (Live)_Public Image Ltd_1983,220
(Wake Up) Time to Die_Lizzy Borden_1985,202
(We Don't Need This) Fascist Groove Thang (Rapino Club Mix)_Heaven 17_2009,176
(We Don't Need This) Fascist Groove Thang_Heaven 17_1981,176
100 Ways ( LP Version )_Porno For Pyros_2016,149
100% Dundee_The Roots_1999,569
100%_Cocoa Tea_1992,260
1000 Good Intentions_Rise Against_2001,191
10000 Km_La Portuaria_2003,68
11th Street_Open Hand_2000,183
13 De Mayo_Isabel Pantoja_2005,155
14 Botellas_2 Minutos_1994,1
15 Minutes Older_Sasha_2009,184
15 Step_Radiohead_2007,125
16 MM Dream_Jeremy Fisher_2007,102
1900's Madness #1_Ennio Morricone_1999,1
1969_Iggy And The Stooges_1969,62
1er Gaou_Magic Systeme_0,253
2 + 2 = 5_Radiohead_2003,197
2 Fists Full Of Nothing_Bruisers_1993,184
2 Glocks_Bone Thugs-N-Harmony_2000,864
2 Minutos_2 Minutos_2006,118
20000 Seconds_K's Choice_1998,120
21st Century Time Bomb_Opiate For The Masses_2008,222
22 (Acoustic)_Lily Allen_2009,197
22 (Vingt Deux) (Feat Ours)_Lily Allen Featuring Ours_2009,211
22 Going On 23_Butthole Surfers_1987,216
2HB (1999 Digital Remaster)_Bryan Ferry_1976,107
30 Days In The Hole (Live)_Humble Pie_2000,143
32 Lines (Album Version)_Sophie B Hawkins_1999,148
36 Grad (Paul van Dyk's Vandit Clubmix)_2raumwohnung_2007,272
3_Britney Spears_2009,249
4 In The Morning_Gwen Stefani_2006,323
4 Words (To Choke Upon)_Bullet For My Valentine_2005,222
40_U2_1992,109
4202002_Pearl Jam_2011,189
50_000 Miles Beneath My Brain (Live)_Ten Years After_1991,108
6 Yrs (Album Version )_Reach 454_2003,225
666lb Bongsession_Bongzilla_2002,86
6TH Avenue Nightmare_Pennywise_2005,70
78 Stimulator_Stimulator_2004,134
8th Wonder_The Sugarhill Gang_1981,998
A Boy Named Sue_Johnny Cash_1969,453
A Boy Who Can't Talk Part 2_Planet P Project_1984,126
A Castle In The Sky_Marty Robbins_1983,123
A Closure in Infinity_Goatwhore_2003,196
A Crow Left Of The Murder_Incubus_2004,124
A Day In The Life (Album Version)_Jeff Beck_2010,164
A Devil's Ransom (Album Version)_Bury Your Dead_2008,101
A Dustland Fairytale_The Killers_2008,263
A Fiery Stride (Ltd Edition Bonus)_Elvenking_2004,173
A Girls Oath_Eluveitie_2009,90
A Goodnight's Sleep_The Starting Line_2002,189
A Higher Place (Album Version)_Tom Petty_1994,119
A La Memoria Del Muerto_Fruko Y Sus Tesos_2004,202
A Legend In My Time_Don Gibson_1987,82
A Little Of You_Eurythmics_1986,98
A Lo Clasico_Daddy Yankee_2007,408
A Man Holdin' On (To A Woman Lettin' Go)_Ty Herndon_1998,174
A Martyr For My Love For You_The White Stripes_2007,279
A New Hope_Blink-182_1997,144
A Part Of Me_40 Grit_2003,47
A Piece Of My Heart_Gang Of Four_1983,99
A Poor Man's Roses_Patsy Cline_1961,118
A Quoi Ca Sert_Julie Zenatti_2004,116
A Rush Of Blood To The Head (Live In Sydney)_Coldplay_2003,265
A Song For You (Feat DMX and Chris Notez)_Bizzy Bone_2008,477
A Song For You (Live)_Simply Red_2006,146
A Sound That Only You Can Hear_K's Choice_1995,119
A Veces Vuelvo_Catupecu Machu_2004,119
A Visit From Drum_Liars_2006,60
A Void Of Lifeless Dreams_Limbonic Art_2007,76
A White Demon Love Song (Soundtrack Album Version)_The Killers_2009,137
A Whiter Shade Of Pale_Annie Lennox_1995,141
Aattelepa ite_Jope Ruonansuu_2004,131
ABC (The Alphabet Song)_Dora The Explorer_2010,10
Aberdeen Blues_Bukka White_1940,126
Ability To Create A War_A Skylit Drive_2007,24
Abnormal (Acoustic)_Bumblefoot_2008,218
About Last Night (LP Version)_Vitamin C_1999,177
Absolute Horizon_Byzantine_2008,130
Absolute_The Fray_2009,187
Abstracted_Scar Symmetry_2006,143
Abused And Unloved_Malefaction_2001,49
Acapulco Sunrise_Santana_1991,1
Accept Crime (Album Version)_Alexisonfire_2009,177
Ace Insurance Man_Bobbie Gentry_1968,330
AcordeÃ³n_Massiel_1984,100
Act Won (Things Fall Apart)_The Roots_1999,154
Adelante_Isabel Pantoja_2002,94
Adnans_Orbital_1999,0
Adrift_Jack Johnson_2008,104
Affliction_AFI_2006,143
Africans_Mighty Diamonds_1993,156
Africa_Dusminguet_1998,65
After All The Love Is Gone_Alias_1990,146
After Hours_Phantom Planet_2004,101
After One Quarter Of A Revolution_Every Time I Die_2009,153
Again (Instrumental)_Janet Jackson_1993,353
Against My Will (LP Version)_Brenda Lee_1960,89
Again_Janet Jackson_1993,353
Again_Radney Foster_2002,164
Aguas Claras De Olimpos_Pescado Rabioso_1973,184
Ahead By A Century_The Tragically Hip_1996,142
Ain't Gone 'N' Give Up On Love_Stevie Ray Vaughan And Double Trouble_2005,122
Ain't Got Nothin' But The Blues (Album Version)_Robben Ford_1988,181
Ain't It Funny_Jennifer Lopez_2001,504
Ain't No Right ( LP Version )_Jane's Addiction_1990,171
Ain't No Sunshine_Michael Jackson_1972,151
Ain't She Sweet_The Beatles  Tony Sheridan_1964,184
Ain't That Loving You Baby_John Hammond_2003,125
Ain`t got nothing ( feat David Banner & Eddy Soulo )_Samy Deluxe_2005,400
Airheads_Sweet_2002,161
Al Final_KALIMBA_2009,106
Al maestro_El Barrio_1999,151
Al Munda Dios Amo (LP Version)_Jaci Velasquez_0,121
Al Svartr (The Oath)_Emperor_2013,104
Albinoni's Adagio In G Minor (LP Version)_The Doors_2002,69
Albo_Hevia_2007,82
Alfil_ Ella No Cambia Nada_Luis Alberto Spinetta_1998,97
Alguna Vez_La Portuaria_1993,60
Alimony_Shaggy_1994,465
Alive_Dala_2009,224
Alkohol_SKOLD vs KMFDM_2009,127
All About Our Love_Sade_2000,88
All Alone (Live)_Gorillaz_2005,291
All at sea_Richard Walters_2009,125
All Creatures Of Our God And King_Patty Griffin_2010,86
All Day_Butthole Surfers_1987,216
All For Nothing_Since The Flood_2007,101
All For The Sake Of The Song_Roger Creager_2003,235
All I Can Do_Kane_2005,98
All I Ever Really Wanted_Donnie McClurkin_1990,261
All I Ever_Ms Dynamite_2002,176
All I Want_Captain Hollywood Project_1993,280
All In A Day (Live @ The Troubadour_ LosAngeles)_The Paul Butterfield Blues Band_2015,134
All My Life (LP Version)_Venice_1990,1013
All My Senses_Mando Diao_2004,213
All Night Long (Instumental)_Junior Kimbrough_1998,127
All Night Long_Junior Kimbrough_1999,127
All Night Long_Warrant_2004,310
All Night Worker_Dave Alvin_2006,199
All Of This_Blink-182_2003,224
All Or Nothing  (Wonderful World Album Version)_Chris Eaton_1995,136
All Or Nothing_Chris Eaton_1995,136
All Or Nothing_SKOLD vs KMFDM_2009,124
All Over Me_Jay Tee and Baby Bash_2008,567
All Over Now_X_1964,308
All Rise_Scott Wesley Brown_1988,200
All That You Need_The Brooklyn Tabernacle Choir_1995,213
All That's Left_Thrice_2003,211
All The Answers_Jesus Jones_1989,137
All The Rage (Clean Album Version)_Funeral For A Friend_2005,185
All The Things You Are_Eliane Elias_1995,161
All the Way_Gloria_1986,188
All The Way_Joey McIntyre_1999,146
All Things Must Pass (2009 Digital Remaster)_George Harrison_2002,130
Alla Fine Di Tutto Questo_Fabri Fibra_2009,446
Alla Mot Alla_Kent_2008,82
Alli Mia Fora_Peggy Zina_0,0
Alma de B-Boy_El Gran Silencio_2007,199
Alma Mater_Moonspell_1995,232
Alma_ CorazÃ³n Y Vida_Dyango_2003,140
Almost Grown_Jesse Malin_2002,182
Alone Together (Live Acoustic)_John Wesley_2013,100
Alpha Beta Parking Lot_Cake_1998,165
Alright Now_Paul Rodgers_0,424
Alright_ Alright_ Alright_Mungo Jerry_1992,148
Always And Forever (Bff)  (Power Album Version)_Raze_1999,143
Always And Never (Album Version)_Silverstein_2005,315
Am I That Easy To Forget_Carl Belew_1959,108
Am I That Easy To Forget_Skeeter Davis_1995,94
Amazing (LP Version)_Point Of Grace_1998,126
Amazing Grace (Album Version)_Dropkick Murphys_1999,62
Amazing_George Michael_2004,285
Amber Changing_Rise Against_2003,166
America's Suitehearts_Fall Out Boy_2008,218
American Dream_Vixen_1988,147
American Ghost Dance (2003 Digital Remastered)_Red Hot Chili Peppers_1985,213
American Girl_Brooke Valentine_2005,153
Amie_Lonestar_1997,210
Amigo (Con el Coro de Infantes de la Basilica de Guadalupe)_Yahir_2006,140
Ammonite_Zeromancer_2009,99
Amo Dejarte Asi_Gustavo Cerati_2003,24
Amor a Medias_HA-ASH_2005,130
Amor Bonito_Pablo Montero_1999,156
Amor De Cabaret_Sonora Santanera_2007,66
Amor De Juventud_Pedro Aznar_1995,100
Amor Siciliano_Juan Carlos Baglietto_1993,99
An Mouvman_Kassav'_2009,81
An Old Fashioned Christmas_Carpenters_1992,102
and Heavens Cried Blood_Swallow The Sun_2009,171
And I Hear You Call_Amorphis_1997,64
And Still I Wither_Enslavement Of Beauty_1999,101
Andale_Los Traileros Del Norte_0,99
Andra sidan_Sofia Karlsson_2009,175
Aneurysm_Nirvana_1992,148
Angel Band_Porter Wagoner_1997,59
Angel Food_Steve Vai_2009,1
Angel Of Light (Never Say Die Album Version)_Petra_2011,256
Angel [Footsteps] (Album Version)_Jeff Beck_1999,1
Angelito (Directo 09)_Carlos Baute_2001,133
Angel_Aerosmith_1987,144
Angel_Julio Iglesias Jr_2008,118
Angie (1993 Digital Remaster)_The Rolling Stones_1988,148
Angry Chair_Alice In Chains_1992,179
Annie's Angle_Mando Diao_2004,352
Anonymous Phone Call_Bobby Vee_1962,98
Another Lesson (Album Version)_Hoods_2001,65
Another Long One_Shawn Colvin_1989,193
Another Lover_The Last Vegas_2009,305
Another World (Album Version)_Richard Hell and The Voidoids_1977,149
Another Year_K's Choice_2000,136
Answer In The Question_MxPx_2000,109
Antarctica Starts Here_John Cale_1973,112
Antidote For The Underdog_Less Than Jake_2008,176
Anya_Marvin Hamlisch_1977,584
Anyday_Amil_2000,427
Anything For My Baby_Kiss_0,185
Anything's Better Than Feelin' The Blues_Martina McBride_1999,127
Anytime You Need A Friend_Mariah Carey_1993,219
Anyway_ Anyhow_ Anywhere_The Who_1979,110
Anywhere Anytime_Sara Melson_2008,155
Apagon_Estopa_2004,266
Aphrodite (1999 Digital Remaster)_The Edgar Broughton Band_1970,106
Apples in the Trees (Live)_Mirah_2005,149
Approach To Danger (Edited)_NWA_2006,410
Aquel Amor_Flor Silvestre_1964,111
Arco Arena_Cake_2001,89
Are We Mindless_Headhunter_1994,169
Are You Ever Gonna Love Me_Jimmy Wayne_2003,131
Are You The One_The Presets_2005,246
Are You There (With Another Girl)_Burt Bacharach_1967,191
Arise_ My Love (Song Of Solomon)_Michael Card_2006,158
Armageddon's Raid_Belphegor_2008,59
Army Of Me (Album Version)_Chimaira_2003,143
Arnold Layne_David Gilmour Featuring Richard Wright_2006,95
Around And Around_The Rolling Stones_1964,178
Around The World_Roger Williams_1976,10698
As Diehard As They Come (Album Version)_Hatebreed_2006,97
As Mist Lay Silent Beneath_Keep Of Kalessin_1999,123
As The Sleeper Awakes_Soilwork_2007,242
Ascendant_Keep Of Kalessin_2008,41
Asha_Asha Puthli_2009,326
Asheville Turnaround_The Del McCoury Band_2003,165
Ask Fi War_Bounty Killer_1996,584
Ask The Angels_The Distillers_2000,197
Ass Attack (Four Tet Remix)_Hot Chip_2004,191
Assassination_Dead Prez_2000,264
Assface_GG Allin_1987,110
Assouf_Tinariwen_2007,77
At Night_Shakedown_2001,100
At The Atlantis_Bad Brains_1996,20
At The Movies (1991 Digital Remaster)_Bad Brains_1983,119
At The Movies (Live)_Bad Brains_1988,119
Atmosphere Station_James Horner_1986,1
Atomic Beat Boy (Album Version)_Helen Love_2000,343
Atrapados En La Red_Tam Tam Go!_1999,134
Attic Room_Casiotone For The Painfully Alone_2003,88
Au Bout De La Marelle_Patrick Bruel_1999,206
Auf Der Mundharmonika_Marlene Dietrich_1992,143
Autobahn (Live)_Kraftwerk_2008,45
Autofokus_KIZ_2005,395
Automatic_Less Than Jake_1996,144
Autumn's Ablaze (Live)_Primordial_1998,77
Avisame_Baby Rasta and Gringo_2004,288
Awake (Album Version)_Onesidezero_2001,102
Awake_The Panic Channel_2006,107
Away From The Sky_Rickie Lee Jones_1989,164
Away in a Manger_Loretta Lynn_0,65
Ayer_El Gran Silencio_2002,176
Ayudame Freud_Ricardo Arjona_1994,270
Aziatic (Outro)_AZ_2002,366
Azzurro_Jaime Urrutia_2005,203
B-Boy Stance_K-OS_2004,312
Baal's Hymn_David Bowie_1982,339
Babes In Arms_April Wine_1979,217
Baby (LP Version)_Prince_1978,232
Baby Come To Me_Kenny G featuring Daryl Hall_2004,160
Baby Don't You Change_Tyrone Wells_2005,213
Baby Please Don't_Tampa Red_2007,129
Baby's First Christmas_Connie Francis_1959,84
Baby's On Fire_Eno_1973,132
Baby_ Baby_ Baby_Bob Margolin_2007,129
Baby_ I'm Your Man_Kevin Max_2008,149
Bach Suite No 1 In G Major (Gigue)_John Williams_1988,1
Bad Days_Timo Maas_2001,172
Bad Dreams_Lyrics Born_2003,242
Bad Influence_The Robert Cray Band_1983,172
Bad Man Story_Beenie Man_0,580
Bad Seed_Jan Howard_1966,133
Bad When U Broke_Dave Hollister_2003,344
Badd Indian_Apache Indian_1993,468
Baggage_L7_1994,92
Baila Girl_ Todo Hombre Llorando Por Ti_Daddy Yankee_2003,327
Bald Head_Professor Longhair_1980,311
Ballad In Urgency_The Black Crowes_1994,97
Ballin' the Jack_Brenda Lee_1967,144
Balon Combo_Mau Mau_1994,98
Baltech's Lament_The Lord Weird Slough Feg_2003,84
Baltimore Oriole (2004 Digital Remaster)_George Harrison_1981,115
Band Intro Pila Song Intro_Max Stalling_0,77
Bang Bang_The Knux_2008,315
Basking Under a Blacksun Dawning_Morgion_1997,70
Bath Of Least Resistance_NOFX_2001,154
