,polarity,subjectivity
'57 Chevrolet_Billie Jo Spears_1990,0.30333333333333334,0.4569999999999999
(Bloody Paw On The) Kill Floor_Busdriver_2007,-0.022491039426523304,0.5797491039426523
(Coffee's For Closers)_Fall Out Boy_2008,-0.14408602150537642,0.35215053763440846
(Do)Minion_Eluveitie_2010,0.2566666666666667,0.72
(eskomolto)_Pagan Wanderer Lu_2015,-0.15018518518518514,0.447962962962963
(I Heard That) Lonesome Whistle_Bobby Darin_1995,0.05619047619047619,0.3152380952380952
(I Used To Couldn't Dance) Tight Pants_Eagles Of Death Metal_2008,-0.09717261904761905,0.4369047619047619
(I'm So) Afraid Of Losing You Again_Charley Pride_1970,0.15625,0.7000000000000001
(Prayer Is The Key To Heaven) Faith Unlocks The Door_Don Gibson_1959,0.10833333333333334,0.9583333333333334
(The Best Part Of) Breakin' Up_The Ronettes_1964,0.47946428571428573,0.44077380952380946
(The Grave Prelude)_Mobb Deep_1995,0.016100095341166763,0.4569756235827664
(This Is Not A) Love Song (Live)_Public Image Ltd_1983,-0.04963821892393322,0.5799474335188624
(Wake Up) Time to Die_Lizzy Borden_1985,0.132907196969697,0.4187500000000001
(We Don't Need This) Fascist Groove Thang (Rapino Club Mix)_Heaven 17_2009,0.17500000000000002,0.5833333333333334
(We Don't Need This) Fascist Groove Thang_Heaven 17_1981,0.17500000000000002,0.5833333333333334
100 Ways ( LP Version )_Porno For Pyros_2016,0.15729166666666666,0.4223214285714286
100% Dundee_The Roots_1999,-0.008022687189353851,0.4981220939554274
100%_Cocoa Tea_1992,0.34956268221574355,0.5431243926141888
1000 Good Intentions_Rise Against_2001,0.004985919098822321,0.579941116231439
10000 Km_La Portuaria_2003,0.0,0.0
11th Street_Open Hand_2000,0.276031746031746,0.484920634920635
13 De Mayo_Isabel Pantoja_2005,0.0,0.0
14 Botellas_2 Minutos_1994,0.0,0.0
15 Minutes Older_Sasha_2009,0.14147186147186147,0.43497354497354496
15 Step_Radiohead_2007,-0.19166666666666665,0.688888888888889
16 MM Dream_Jeremy Fisher_2007,0.22819444444444445,0.5776388888888888
1900's Madness #1_Ennio Morricone_1999,0.0,0.0
1969_Iggy And The Stooges_1969,0.325,0.31666666666666665
1er Gaou_Magic Systeme_0,-0.09999999999999999,0.2714285714285714
2 + 2 = 5_Radiohead_2003,-0.05925925925925926,0.5481481481481482
2 Fists Full Of Nothing_Bruisers_1993,-0.054870129870129854,0.37230790043290046
2 Glocks_Bone Thugs-N-Harmony_2000,-0.1016923076923077,0.5341082621082621
2 Minutos_2 Minutos_2006,0.0,0.0
20000 Seconds_K's Choice_1998,0.021657509157509157,0.6412087912087912
21st Century Time Bomb_Opiate For The Masses_2008,-0.020715525793650793,0.18951719576719578
22 (Acoustic)_Lily Allen_2009,-0.07307692307692308,0.6057692307692308
22 (Vingt Deux) (Feat Ours)_Lily Allen Featuring Ours_2009,0.06076388888888889,0.6972222222222223
22 Going On 23_Butthole Surfers_1987,0.11818181818181821,0.49015151515151506
2HB (1999 Digital Remaster)_Bryan Ferry_1976,0.12129629629629629,0.4972222222222223
30 Days In The Hole (Live)_Humble Pie_2000,-0.09472502805836142,0.500561167227834
32 Lines (Album Version)_Sophie B Hawkins_1999,0.10068783068783069,0.45994708994709
36 Grad (Paul van Dyk's Vandit Clubmix)_2raumwohnung_2007,0.19230769230769232,0.35384615384615375
3_Britney Spears_2009,0.01994949494949494,0.539404918752745
4 In The Morning_Gwen Stefani_2006,0.22121489621489618,0.45048840048840055
4 Words (To Choke Upon)_Bullet For My Valentine_2005,0.159423828125,0.2611111111111111
40_U2_1992,0.0588516746411483,0.42775119617224877
4202002_Pearl Jam_2011,0.21850649350649348,0.5295454545454544
50_000 Miles Beneath My Brain (Live)_Ten Years After_1991,0.36326530612244895,0.520408163265306
6 Yrs (Album Version )_Reach 454_2003,-0.17407407407407408,0.3206018518518519
666lb Bongsession_Bongzilla_2002,0.40909090909090906,0.575
6TH Avenue Nightmare_Pennywise_2005,-0.019318181818181818,0.475
78 Stimulator_Stimulator_2004,0.07272727272727272,0.4428571428571429
8th Wonder_The Sugarhill Gang_1981,0.08197105448082011,0.4289462081128749
A Boy Named Sue_Johnny Cash_1969,-0.0398561507936508,0.4893105158730158
A Boy Who Can't Talk Part 2_Planet P Project_1984,0.01785714285714285,0.5571428571428572
A Castle In The Sky_Marty Robbins_1983,0.06931818181818182,0.42565937149270483
A Closure in Infinity_Goatwhore_2003,0.016764418377321604,0.5455767350928642
A Crow Left Of The Murder_Incubus_2004,0.20357142857142854,0.5571428571428572
A Day In The Life (Album Version)_Jeff Beck_2010,0.14393939393939392,0.502020202020202
A Devil's Ransom (Album Version)_Bury Your Dead_2008,0.12333333333333336,0.45777777777777773
A Dustland Fairytale_The Killers_2008,0.2117647058823529,0.44264705882352945
A Fiery Stride (Ltd Edition Bonus)_Elvenking_2004,0.17655122655122657,0.6001443001443002
A Girls Oath_Eluveitie_2009,0.0,0.0
A Goodnight's Sleep_The Starting Line_2002,0.21304347826086958,0.6115942028985507
A Higher Place (Album Version)_Tom Petty_1994,0.09829059829059829,0.4299145299145299
A La Memoria Del Muerto_Fruko Y Sus Tesos_2004,0.0,0.0
A Legend In My Time_Don Gibson_1987,-0.05,0.5125
A Little Of You_Eurythmics_1986,-0.035416666666666666,0.6166666666666666
A Lo Clasico_Daddy Yankee_2007,-0.11908957741477273,0.6709090909090909
A Man Holdin' On (To A Woman Lettin' Go)_Ty Herndon_1998,0.06302083333333332,0.37760416666666674
A Martyr For My Love For You_The White Stripes_2007,0.09324841824841824,0.4859737484737484
A New Hope_Blink-182_1997,0.18333333333333335,0.5583333333333332
A Part Of Me_40 Grit_2003,0.02,0.155
A Piece Of My Heart_Gang Of Four_1983,0.09166666666666667,0.7000000000000001
A Poor Man's Roses_Patsy Cline_1961,0.3013157894736842,0.7184210526315788
A Quoi Ca Sert_Julie Zenatti_2004,0.0,0.0
A Rush Of Blood To The Head (Live In Sydney)_Coldplay_2003,-0.06030092592592593,0.44293981481481487
A Song For You (Feat DMX and Chris Notez)_Bizzy Bone_2008,0.09620497427101199,0.5784591194968556
A Song For You (Live)_Simply Red_2006,0.32,0.5966666666666665
A Sound That Only You Can Hear_K's Choice_1995,0.09388888888888888,0.5061111111111111
A Veces Vuelvo_Catupecu Machu_2004,0.0,0.0
A Visit From Drum_Liars_2006,-0.09999999999999999,0.2833333333333334
