file,polarity,subjectivity,word_count,decade
'57 Chevrolet_Billie Jo Spears_1990,0.3033333333333333,0.4569999999999999,167,1990
(Bloody Paw On The) Kill Floor_Busdriver_2007,-0.022491039426523304,0.5797491039426523,456,2000
(Coffee's For Closers)_Fall Out Boy_2008,-0.14408602150537642,0.3521505376344085,339,2000
(Do)Minion_Eluveitie_2010,0.2566666666666667,0.72,179,2010
(eskomolto)_Pagan Wanderer Lu_2015,-0.15018518518518514,0.447962962962963,125,2010
(I Heard That) Lonesome Whistle_Bobby Darin_1995,0.056190476190476187,0.3152380952380952,126,1990
(I Used To Couldn't Dance) Tight Pants_Eagles Of Death Metal_2008,-0.09717261904761904,0.4369047619047619,224,2000
(I'm So) Afraid Of Losing You Again_Charley Pride_1970,0.15625,0.7000000000000001,125,1970
(Prayer Is The Key To Heaven) Faith Unlocks The Door_Don Gibson_1959,0.10833333333333334,0.9583333333333334,45,1950
(The Best Part Of) Breakin' Up_The Ronettes_1964,0.4794642857142857,0.4407738095238095,169,1960
(The Grave Prelude)_Mobb Deep_1995,0.016100095341166763,0.4569756235827664,667,1990
(This Is Not A) Love Song (Live)_Public Image Ltd_1983,-0.04963821892393322,0.5799474335188624,220,1980
(Wake Up) Time to Die_Lizzy Borden_1985,0.132907196969697,0.4187500000000001,202,1980
(We Don't Need This) Fascist Groove Thang (Rapino Club Mix)_Heaven 17_2009,0.17500000000000002,0.5833333333333334,176,2000
(We Don't Need This) Fascist Groove Thang_Heaven 17_1981,0.17500000000000002,0.5833333333333334,176,1980
100 Ways ( LP Version )_Porno For Pyros_2016,0.15729166666666666,0.4223214285714286,149,2010
100% Dundee_The Roots_1999,-0.008022687189353851,0.4981220939554274,569,1990
100%_Cocoa Tea_1992,0.34956268221574355,0.5431243926141888,260,1990
1000 Good Intentions_Rise Against_2001,0.004985919098822321,0.579941116231439,191,2000
10000 Km_La Portuaria_2003,0.0,0.0,68,2000
11th Street_Open Hand_2000,0.2760317460317461,0.484920634920635,183,2000
13 De Mayo_Isabel Pantoja_2005,0.0,0.0,155,2000
14 Botellas_2 Minutos_1994,0.0,0.0,1,1990
15 Minutes Older_Sasha_2009,0.14147186147186147,0.43497354497354496,184,2000
15 Step_Radiohead_2007,-0.19166666666666665,0.6888888888888891,125,2000
16 MM Dream_Jeremy Fisher_2007,0.22819444444444445,0.5776388888888888,102,2000
1900's Madness #1_Ennio Morricone_1999,0.0,0.0,1,1990
1969_Iggy And The Stooges_1969,0.325,0.31666666666666665,62,1960
2 + 2 = 5_Radiohead_2003,-0.05925925925925926,0.5481481481481482,197,2000
2 Fists Full Of Nothing_Bruisers_1993,-0.054870129870129854,0.3723079004329005,184,1990
2 Glocks_Bone Thugs-N-Harmony_2000,-0.1016923076923077,0.5341082621082621,864,2000
2 Minutos_2 Minutos_2006,0.0,0.0,118,2000
